Skills,Interests,Recommended_Career,source,Education,CGPA,career_label
"gathering information,people management,communication skills,product knowledge,problem solving skills,java,client management,good communication skills","technology,sports industry",Associate Software Engineer,recommender_dataset,BE,67.45,29
"protein expression ,protein purification, molecular biology, biochemistry, protein chemistry ,western blotting ,cell culture, cell biology, bioinformatics,
polymerase chain reaction (pcr) ,molecular cloning, microscopy,
chromatography,
enzyme kinetics,
biophysics electron microscopy,
cryo-em,x-ray crystallography,
static light scattering,chromatrography",research,Research Associate,recommender_dataset,B.Sc,84.265,269
"communication skills,writing skills,c++,python,sql,java","technology,web designing,data analytics",Associate consultant,recommender_dataset,B.Tech,79,31
"programming language skills,problem solving skills",web development,Associate technology l2,recommender_dataset,B.Tech,87.685,34
"active listening,hardware skills,communication skills,negotiation skills","understand human behaviour,understand human body,govt. job,industires",Lab assistent,recommender_dataset,BA,72,176
"critical thinking,finance related skills,people management,communication skills,leadership,designing skills,social media marketing",web designing,Test engineer,recommender_dataset,B.Tech,80.655,348
"proeficiency in software like staad pro, etabs","industires,sap consultant in mm,construction",Civil & Structural Engineer,recommender_dataset,B.Tech,65.55,62
"active listening,critical thinking,gathering information,analytical skills,finance related skills,proeficiency in software like staad pro, etabs,good communication skills,sap","construction,construction manegement,urban planning,project management",Civil & Structural Engineer,recommender_dataset,B.Tech,77.615,62
"business knowledge, sales",social justice,Teacher,recommender_dataset,B.Sc,74.1,333
"ai, ml, python, sql, negotiation skills, work under pressure, leadership, news gathering, editing, market study, team work, derivatives, excel, tableau, catia , ansys ,solidworks,caesar 2",technology,Mechanical Engineer,recommender_dataset,B.Tech,67.545,202
"business knowledge, leadership, market study",technology,Mechanical Engineer,recommender_dataset,B.Tech,80.75,202
"programming language skills,critical thinking,artistic/creative skills,analytical skills,machine learning skills,python,sql,java","technology,data analytics,data scientist",Data Scientist,recommender_dataset,B.Tech,68.4,95
"team work, excel, designing skills",technology,Graduate Quality Engineer,recommender_dataset,B.Tech,66.5,145
"accounting skills,active listening,programming language skills,problem solving skills,designing skills,r,python,sql,hr,matlab",web designing,ERP IMPLEMENTATION,recommender_dataset,B.Sc,65,116
"people management,leadership,designing skills,writing skills,social media marketing","research,teaching,govt. job,design,sports industry",Teacher,recommender_dataset,BA,83,333
"programming language skills,analytical skills,people management,communication skills,leadership,problem solving skills,python,sql,java,teaching","technology,data analytics,data scientist",Customer operation associate,recommender_dataset,B.Tech,60,82
"people management, observation skills, designing skills",technology,Structural engineer,recommender_dataset,BE,85,318
"analytical skills,communication skills,product knowledge,problem solving skills,risk management skills,designing skills,writing skills,presentation skills","research,technology,industires,design,product life cycle management",Design Engineer,recommender_dataset,BE,74.1,104
"c,javascript,data structure,css, jquery ,angular js ,javascript, html5 ,css3,
ssis, ssms, python, react.js ,java enterprise edition","data scientist,web development,social causes,all fields related to data science.machine learning",Software Engineer,recommender_dataset,B.Tech,67.45,304
"css,c++,javascript,mysql,java,sql,cascading style sheets (css),website development,jquery,html5,linux,ajax,software development,xml,cakephp,codeigniter,laravel,symfony,symfony framework,git,angular command line interface (cli),yii2","data scientist,web development,social causes,all fields related to data science,machine learning",Web Developer,recommender_dataset,B.Tech,76,366
"communication skills,writing skills,c++",information technology,Data entry,recommender_dataset,BCA,86,97
"gathering information,artistic/creative skills,analytical skills,communication skills","news coverage,research,sales/marketing,social justice,teaching",Sales,recommender_dataset,B.Sc,68.4,279
"python, sql","research, technology",Devops Engineer,recommender_dataset,B.Tech,74.1,109
"ml, python, analytic thinking, business knowledge, leadership, team work, excel, r, problem solving skills, data science completed by using python and r",data science and artificial intelligence,Mechanical Engineer,recommender_dataset,B.Tech,63.9,202
"programming language skills,business knowledge,communication skills,problem solving skills","technology,content writing,web development",Associate Consultant,recommender_dataset,BE,65,23
"programming language skills,communication skills,sql,java","technology,data scientist,web development",Trainee,recommender_dataset,BE,75.39,350
"java, programming",trading,Java Developer,recommender_dataset,B.Tech,72.2,166
"programming language skills,critical thinking,communication skills,problem solving skills,risk management skills,c++,presentation skills,linux,cloud computing",technology,Assistant System Engineer (TCS),recommender_dataset,B.Tech,76.095,18
"java, sql, programming, communication skills, team work, presentation skills",technology,Automation in java lang,recommender_dataset,B.E,77.615,37
"writing, reading","research, social justice, understand human body",Mechanical Engineer,recommender_dataset,B.E,73.625,202
"ml, python, business knowledge, java, linux, aws","financial analysis, technology, entrepreneurship",Back End Developer,recommender_dataset,B.Tech,66.5,40
"php,programming language c,javascript",mobile app development,Mobile Application Developer,recommender_dataset,B.Tech,83.6,214
excel,understand human body,Doctor,recommender_dataset,B.Pharmacy,73,114
"accounting skills,active listening,hardware skills,sales,social media marketing,hr",service,Service Advisor,recommender_dataset,BE,59.09,295
"critical thinking,communication skills,sap",technology,Production Engineer,recommender_dataset,BE,75,242
"python, people management, communication skills, work under pressure, leadership, creativity skills, team work","sales/marketing, entrepreneurship",Digital/Social Media Marketer,recommender_dataset,BE,83.125,113
python,govt. job,CIS,recommender_dataset,BE,73.72,56
"active listening, programming, work under pressure, teamwork,excel,logical skills interpersonal skills, presentation skills, reading","technology,trading",SQL Developer,recommender_dataset,B.Tech,70.3,276
"active listening, analytic thinking, business knowledge, work under pressure, team work, presentation skills, writing, observation skills, risk managing, reading, subject knowledge","take risk for profits, technology, trading, entrepreneurship",Front End Developer,recommender_dataset,B.E,74.1,133
"programming language skills,people management,designing skills,social media marketing,interpersonal skills,good communication skills","digital marketing,data scientist,social media marketing",Software engineer,recommender_dataset,B.Tech,33.25,308
"business knowledge,product knowledge,problem solving skills,risk management skills,sales,client management","sales/marketing,trading,retailer,market reserach,construction manegement,excel","Listing, Marketting , Stocking and Selling",recommender_dataset,BCA,70,184
"java enterprise edition,hibernate,zuul api gateway,spring cloud,apache zookeeper,amazon ec2,zoho,oracle crm,spring boot,spring mvc,docker,apache drill,angular",cloud computing,AWS Architect,recommender_dataset,B.Tech,81.7,5
"accounting skills, business knowledge, negotiation skills, work under pressure, interpersonal skills",financial analysis,Articleship,recommender_dataset,B.Com,75,14
"python, java",technology,Java Developer,recommender_dataset,B.Tech,65.55,166
"writing skills,medical knowledge",understand human body,Dental surgeon,recommender_dataset,Doctor ,89,102
"altium designer,printed circuit board (pcb) design,ni labview, digital electronics semiconductors,arduino,xilinx vivado,verilog,kicad,ni multisim,eagle pcb,electronic circuit design,altium circuitmaker,internet of things (iot),electronics hardware design,orcad capture cis,orcad",hardware,Hardware PCB Design Engineer,recommender_dataset,B.Tech,76.95,154
"hr,good communication skills","understand human behaviour,social causes",HR executive,recommender_dataset,BA,70,151
"accounting skills,active listening,hardware skills,critical thinking,people management,communication skills,leadership,designing skills,writing skills",research,Production field,recommender_dataset,BE,63.27,244
"people management,leadership,problem solving skills",production supervisor,Production Supervisor,recommender_dataset,BE,64.125,243
"python, programming, communication skills, leadership, c++, writing, observation skills",technology,Computer Software Engineer,recommender_dataset,B.Sc,77.995,71
"accounting skills, active listening, cost accounting, market study, excel, logical skills, problem solving skills, writing, sales, building rapport",financial analysis,Account Assistant,recommender_dataset,B.A.F,75.05,7
"programming language skills,critical thinking,analytical skills,communication skills,leadership,problem solving skills,data visualization skills( power bi/ tableau ),machine learning skills,r,python,artificial intelligence","data analytics,data scientist",Python instructor,recommender_dataset,B.Tech,68.3,256
"gathering information,business knowledge,analytical skills,people management,civil & criminal law,communication skills,negotiation skills,mass communication,leadership","news coverage,technology",Crime reporter,recommender_dataset,B.Tech,72,79
"critical thinking, artistic skills, communication skills, editing, interpersonal skills, reporting, reading, subject knowledge",teaching,Teacher,recommender_dataset,M.A,83,333
team work,trading,Stock Trader,recommender_dataset,B.Com,57.95,315
"python, gathering informing, business knowledge","news coverage, social justice",Mechanical Engineer,recommender_dataset,BBA,95,202
"sql,java,javascript",information technology,Programmer,recommender_dataset,BCA,69.92,247
"active listening,designing skills,python","research,data analytics,data scientist",Modeler,recommender_dataset,B.Tech,67,216
"data visualization skills( power bi/ tableau ),python,sql,client management,good communication skills","news coverage,research,social justice,technology,trading,understand human behaviour,supply chain analysis,data analytics,digital marketing,data scientist,market reserach,social media marketing",BA,recommender_dataset,BE,54.15,38
"accounting skills,finance related skills,people management,civil & criminal law","sales/marketing,technology,supply chain analysis,govt. job,market reserach,infrastructure,design",Quality Engineer,recommender_dataset,BE,67.4,261
"critical thinking, analytic thinking, business knowledge, sql, programming, communication skills, work under pressure, editing, team work, excel, logical skills, interpersonal skills, presentation skills, tableau, building rapport",technology,Computer Software Engineer,recommender_dataset,B.Tech,82.175,71
"critical thinking,gathering information,artistic/creative skills,communication skills,mass communication,editing,writing skills,content creation","news coverage,understand human behaviour,content writing,govt. job,social causes",Junior sub editor,recommender_dataset,Bachelor of journalism,75,174
"active listening,people management,communication skills,leadership,editing,social media marketing","news coverage,digital marketing",Content Creator,recommender_dataset,Master of journalism,71.25,73
"ai, ml, python, java",technology,Java Developer,recommender_dataset,B.Tech,73.15,166
"designing skills,machine learning skills,social media marketing","social media marketing,design",DET,recommender_dataset,Diploma,81,87
"people management,leadership","sales/marketing,technology,product life cycle management",Mechanical Supervisor,recommender_dataset,BE,65.55,203
"leadership,product knowledge,sales","supply chain analysis,product life cycle management",Quality Engineer,recommender_dataset,BE,63.175,261
civil & criminal law,construction,Civil engineer,recommender_dataset,B.Tech,70,65
"analytical skills,leadership,social media marketing","teaching,technology",Design Engineer,recommender_dataset,BE,71.155,104
"accounting skills, gathering informing, business knowledge, people management, product knowledge, excel, observation skills","financial analysis, take risk for profits, trading, understand human behaviour, understand human body",Site engineer,recommender_dataset,B.E,65.55,299
"programming language skills,wealth management,python","technology,web designing",Developer,recommender_dataset,BE,70.3,108
"ai, python",technology,Computer Software Engineer,recommender_dataset,B.Sc,77.9,71
"active listening,people management,leadership","supply chain analysis,data analytics",Store keeper,recommender_dataset,BE,71.25,316
"accounting skills,critical thinking,artistic/creative skills,business knowledge,analytical skills,finance related skills,civil & criminal law,mass communication,editing,product knowledge,problem solving skills,writing skills,data visualization skills( power bi/ tableau ),machine learning skills,social media marketing,c++,presentation skills,python,content creation,medical knowledge,java,hr,proeficiency in software like staad pro, etabs","web designing,govt. job,web development",Sales,recommender_dataset,BE,69,279
"programming language skills,finance related skills,editing,c++,python,artificial intelligence,sql,java",technology,Associate consultant,recommender_dataset,B.Tech,62,31
"hardware skills,plc/scada/vlsi/dcs","technology,industires,information technology",Instrumentation and Control Engineer,recommender_dataset,B.Tech,85.69,163
"creativity skills, team work, programming","technology,teaching",Java Full Stack Developer,recommender_dataset,B.Tech,68.4,167
"proeficiency in software like staad pro, etabs","construction,construction manegement,urban planning",Civil & Structural Engineer,recommender_dataset,B.Tech,79.8,62
programming,technology,Tele-caller,recommender_dataset,B.Sc,62,344
javascript,"web designing,web development",Associate Consultant,recommender_dataset,B.Tech,95,23
communication skills,technology,Chemist in pharmaceutical,recommender_dataset,M.Sc,78.85,61
"gathering informing, leadership, market study, team work","research, teaching, technology",Design Engineer,recommender_dataset,BE,83.6,104
"programming, logical skills, observation skills",entrepreneurship,Back End Developer,recommender_dataset,BE,84.55,40
"accounting skills, active listening, gathering informing, java, sql, programming, communication skills, work under pressure, news gathering, editing, product knowledge, excel, interpersonal skills, presentation skills, c++, problem solving skills, observation skills, building rapport","financial analysis, technology, entrepreneurship, understand human behaviour",Java Developer,recommender_dataset,B.Tech,78.565,166
"analytical skills,data visualization skills( power bi/ tableau ),c++,python,sql,java,aws","data analytics,data scientist,social media marketing",Software Engineer,recommender_dataset,B.Tech,80.75,304
"ml, business knowledge, people management, communication skills, negotiation skills, leadership, product knowledge, team work, excel","technology, understand human behaviour",Computer Software Engineer,recommender_dataset,B.Tech,74.1,71
"programming, communication skills, work under pressure, leadership, editing, product knowledge, team work, excel, logical skills, interpersonal skills, presentation skills, c++, problem solving skills, mass communication, writing, reading, designing skills, sales","research, sales/marketing, social justice, teaching, technology, entrepreneurship, understand human behaviour",Business developer,recommender_dataset,B.E,83.315,53
"c++,python,sql,java,architecture,php",mobile app development,Mobile Application Developer,recommender_dataset,B.Tech,79.8,214
"accounting skills, business knowledge, people management, work under pressure, cost accounting, reading","financial analysis, research, technology",Chartered Accountant,recommender_dataset,B.Com,69,59
"programming language skills,critical thinking,gathering information,artistic/creative skills,business knowledge,communication skills,leadership,designing skills,machine learning skills,sales,social media marketing,artificial intelligence,good communication skills,us & canada recruitment (it),aws,php","social justice,technology,web designing,digital marketing,web development,market reserach,social media marketing,information technology,machine learning,agriculture, services",Web Developer and Digital Marketer,recommender_dataset,MBA,55,367
editing,content writing,Sub-editor,recommender_dataset,Master of journalism ,59,321
"sales, subject knowledge","teaching, entrepreneurship",Medical Practitioner,recommender_dataset,Pharmacy,60,209
"reading, sales","teaching, entrepreneurship",Teacher,recommender_dataset,D ed,57,333
"python, c++, problem solving ,kivy, competitive programming, data structures ,backend web development ,spring boot, spring framework","machine learning,all fields related to data science",Software Developer,recommender_dataset,B.Tech,87.59,302
leadership,trading,Tele-caller,recommender_dataset,BBA,69,344
"analytical skills,communication skills,product knowledge,risk management skills,good communication skills","technology,govt. job",Customer service,recommender_dataset,MCA,45,83
"proeficiency in software like staad pro, etabs",construction manegement,Civil & Structural Engineer,recommender_dataset,B.Tech,71.25,62
"active listening,critical thinking,gathering information,people management,communication skills,mass communication,editing,problem solving skills,writing skills,content creation","news coverage,understand human behaviour,content writing,digital marketing",Catalog Associate,recommender_dataset,B.Sc,78,58
java,teaching,Software Engineer,recommender_dataset,B.Tech,58.615,304
"hardware skills,analytical skills,communication skills,leadership,editing,product knowledge,problem solving skills,risk management skills,designing skills",design,Mechanical design Engineer,recommender_dataset,Diploma,60,204
"analytic thinking, sql, oracle, programming, communication skills, interpersonal skills","research, teaching, geography and geology",Computer Software Engineer,recommender_dataset,B.Tech,70.775,71
"java, sql, programming, team work",technology,Computer Software Engineer,recommender_dataset,B.Tech,75.81,71
"creativity skills,leadership,market study, teamwork, programming","technology,entrepreneurship",Java Developer,recommender_dataset,B.Tech,78.85,166
"active listening,critical thinking,gathering information,artistic/creative skills,analytical skills,people management,communication skills,negotiation skills,mass communication,leadership,problem solving skills,risk management skills,designing skills,writing skills,machine learning skills,social media marketing,interpersonal skills,presentation skills,linux,artificial intelligence,sql,medical knowledge,cloud computing,hr","news coverage,technology,understand human behaviour,understand human body,data analytics,home interior design",Video labeling(Artificial intelligence) and Medical Coding,recommender_dataset,BCA,86,365
"accounting skills, python, critical thinking, analytic thinking, business knowledge, communication skills, negotiation skills, leadership, editing, product knowledge, cost accounting, creativity skills, market study, team work, derivatives, logical skills, c++, problem solving skills, observation skills, risk managing, designing skills, building rapport","financial analysis, research, take risk for profits, technology, trading",Admin,recommender_dataset,M.Sc,68.4,11
"active listening,gathering information,artistic/creative skills,editing,problem solving skills,sql","technology,data analytics,game industry",Programmer,recommender_dataset,B.Tech,60,247
"python, artistic skills, sql, communication skills, editing, excel, c++",technology,Programmer,recommender_dataset,B.Tech,60,247
"active listening,critical thinking,gathering information,artistic/creative skills,communication skills,problem solving skills,risk management skills,writing skills,data visualization skills( power bi/ tableau ),presentation skills,good communication skills","research,technology,data analytics,data scientist",Quality Assurance,recommender_dataset,BE,75,259
"business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, team work, excel, logical skills, interpersonal skills, presentation skills, observation skills, sales","sales/marketing, teaching, entrepreneurship",Business development associate,recommender_dataset,BE,84.55,54
"programming language skills,r,python,programming language c,sas",statistical programmer,Statistical programmer,recommender_dataset,B.Tech,65,313
"active listening,business knowledge,lotus notes","technology,understand human behaviour,understand human body,data scientist",Lotus Notes Admin,recommender_dataset,B.Tech,60,187
"active listening,programming language skills,critical thinking,gathering information,business knowledge,analytical skills,people management,negotiation skills,sql,hr,client management,us & canada recruitment (it)","technology,data analytics,data scientist,information technology","Senior Technical Recruiter, Recruitment Specialist, Talent Acquisition Specialist (IT)",recommender_dataset,B.Tech,57.08,293
"active listening, communication skills, designing skills",understand human behaviour,Structural Engineer,recommender_dataset,B.Tech,79.8,317
"ai, ml, python, java, sql, oracle, programming, work under pressure, leadership, product knowledge, team work, logical skills, presentation skills, c++, problem solving skills, writing, observation skills, subject knowledge",technology,Computer Software Engineer,recommender_dataset,B.Tech,87.4,71
linux,technology,Linux Administrator,recommender_dataset,B.Tech,56.525,183
"active listening, ai, ml, python, critical thinking, analytic thinking, programming, communication skills, work under pressure, leadership, c++, problem solving skills","research, technology, entrepreneurship",Front End Developer,recommender_dataset,BE,88.16,133
python,technology,Mechanical Engineer,recommender_dataset,B.Tech,70,202
"python, java","research, technology",Computer Software Engineer,recommender_dataset,B.Tech,61.75,71
engineering,engineering,Mechanical Engineer,recommender_dataset,B.Tech,76,202
"active listening,hardware skills,programming language skills,communication skills,r,python,sql,matlab,good communication skills","technology,data scientist,machine learning",store assistant,recommender_dataset,BE,60,378
"critical thinking, analytic thinking, business knowledge, communication skills, negotiation skills, leadership, creativity skills, team work, interpersonal skills, problem solving skills, risk managing, designing skills","social justice, technology",Computer Software Engineer,recommender_dataset,B.E.,80.75,71
"active listening,programming language skills,critical thinking,designing skills,sql,java,cloud computing",technology,Software engineer,recommender_dataset,BCA,73.15,308
"data visualization skills( power bi/ tableau ),machine learning skills,python,artificial intelligence",data scientist,Developer,recommender_dataset,B.Tech,66.5,108
"ml, critical thinking, analytic thinking, gathering informing, communication skills, work under pressure, writing","research, social justice, teaching",Engineer,recommender_dataset,BE,80.75,121
"business knowledge, product knowledge, team work, reading, building rapport",sales/marketing,Sales Executive,recommender_dataset,B.E,65.835,280
"active listening,programming language skills,critical thinking,gathering information,business knowledge,analytical skills,problem solving skills,data visualization skills( power bi/ tableau ),machine learning skills,r,python,sql","financial analysis,research,technology,game industry",Executive Engineer,recommender_dataset,BE,67,126
"active listening,programming language skills,critical thinking,gathering information,analytical skills,problem solving skills,machine learning skills,presentation skills,r,python,sql","research,game industry,digital marketing,data scientist,all fields related to data science.,information technology,blockchain",Executive Engineer,recommender_dataset,BE,67,126
"gathering informing, product knowledge",entrepreneurship,Network engineer,recommender_dataset,B.Tech,64.125,219
"gathering information,business knowledge,analytical skills,designing skills,presentation skills,content creation","technology,data analytics,data scientist,all fields related to data science.",Product development associate,recommender_dataset,B.Tech,71.345,241
"analytical skills,people management,communication skills,product knowledge,problem solving skills,risk management skills,data visualization skills( power bi/ tableau ),machine learning skills,presentation skills,python,matlab","financial analysis,sales/marketing,data analytics",Team lead in Mortgage banking;,recommender_dataset,B.Com,43,338
"active listening, work under pressure,teamwork,interpersonal skills, presentation skills, reading",teaching,Teaching,recommender_dataset,B.Tech,71.25,334
"business knowledge, sql, programming, people management, communication skills, work under pressure, editing, creativity skills, team work, excel, linux, problem solving skills, observation skills, reading","technology, entrepreneurship",Dot net Developer,recommender_dataset,B.Tech,71.25,115
"business knowledge, people management, work under pressure, digital marketing","research, sales/marketing, entrepreneurship",Digital/Social Media Marketer,recommender_dataset,B.Tech,66.5,113
"active listening,programming language skills,critical thinking,gathering information,communication skills,leadership,good communication skills,teaching","social justice,teaching,govt. job,agriculture, services",Receptionist in coaching center,recommender_dataset,Diploma,78,267
hardware skills,govt. job,Web Developer,recommender_dataset,B.Tech,82.91,366
artistic/creative skills,sales/marketing,Dancing,recommender_dataset,B.Com,68,90
"cell culture,microbiology,molecular genetics,microbial genetics,proteomics,pcr,bioinformatics,elisa,qrt-pcr,mammalian cell culture,rna isolation,site-directed mutagenesis,molecular & cellular biology,immunology,cell biology,dna extraction",understand human body,Research Fellow,recommender_dataset,B.Tech,86.45,270
"python, analytic thinking, java, oracle, editing, c++, problem solving skills",teaching,Not working,recommender_dataset,B.Tech,77,220
"communication skills,negotiation skills,product knowledge,designing skills","research,sales/marketing,technology,understand human behaviour",Design Engineer,recommender_dataset,BE,69.35,104
"accounting skills,risk management skills,designing skills,writing skills","sales/marketing,teaching,technology",Assistent Engineer,recommender_dataset,B.Tech,77.55,20
"ai, ml, python",technology,ML Engineer,recommender_dataset,B.Tech,56,190
"html,c,php,css,drupal,javascript,mssql,jquery,netbeans,mysql,ajax,xml","web development,social causes,all fields related to data science,machine learning,data scientist",Web Developer,recommender_dataset,B.Tech,83.6,366
"cell culture ,plant tissue culture, environmental biotechnology, microbiology ,nanomaterials ,nanoparticles,nanobiotechnology, gas chromatographyhigh-performance liquid chromatography (hplc), electrospinning, mammalian cell culture ,bacterial culture, ndds ,chromatography,tissue culture,uv/vis spectroscopy","research,understand human body,biotechnology",Research Associate,recommender_dataset,B.Tech,71.25,269
"work under pressure, excel, sales",sales/marketing,MIS Executive,recommender_dataset,B.Com,50,189
"business knowledge,finance related skills,sql,java",game industry,HDFC BANK,recommender_dataset,B.Sc,70,148
"good manufacturing practice (gmp),hazard analysis and critical control points (haccp),food safety,quality assurance,problem solving,critical thinking,food microbiology,food technology","research,understand human body,biotechnology",Lab Technician -Food Safety & Quality,recommender_dataset,B.Tech,87.875,175
"critical thinking,civil & criminal law",litigation & legal service,Legal Associate,recommender_dataset,BALLB,67.64,181
"data visualization skills( power bi/ tableau ),sql",data analytics,Power,recommender_dataset,B.Tech,77,234
"business knowledge,communication skills,designing skills,writing skills,machine learning skills",design,Still working jbm auto pvt Ltd company Engineering quality department,recommender_dataset,BE,68.4,314
"sql, c++",technology,Software,recommender_dataset,B.Tech,86,301
"active listening, ml, python, analytic thinking, sql, programming, communication skills, creativity skills, team work, logical skills, tableau, reading","financial analysis, research, technology, gis",Assistant Professor,recommender_dataset,B.Tech,73.055,16
"ml, python, sql, oracle, tableau",technology,Back End Developer,recommender_dataset,B.E ,62,40
sales,sales/marketing,Sales Executive,recommender_dataset,Poo.sc,53,280
"business knowledge, people management, communication skills, work under pressure, leadership, editing, team work, excel, presentation skills, reading, designing skills","technology, trading, entrepreneurship",Traniee,recommender_dataset,B.Tech,80.75,353
"hardware skills,programming language skills,critical thinking,gathering information,writing skills,c++,matlab,good communication skills","technology,content writing,home interior design,compering",Associate Engineer - Controls & Software,recommender_dataset,B.Tech,66.595,25
"java, sql, oracle, programming, problem solving skills",technology,Back End Developer,recommender_dataset,BE,78.375,40
"business knowledge, people management, work under pressure, leadership, team work, interpersonal skills, wealth management, risk managing",safety,SAFETY OFFICER,recommender_dataset,B.Tech,67.45,273
programming language skills,technology,Developer,recommender_dataset,MCA,94.05,108
"active listening,programming language skills,critical thinking,business knowledge,analytical skills,communication skills,leadership,problem solving skills,risk management skills,writing skills,data visualization skills( power bi/ tableau ),machine learning skills,c++,r,python,artificial intelligence,sql","technology,data analytics,data scientist",Data scientist,recommender_dataset,BE,74.1,99
"accounting skills, ai, business knowledge, work under pressure, leadership, team work, excel, risk managing, reporting","financial analysis, news coverage",Chartered Accountant,recommender_dataset,Chartered Accountancy,85.5,59
"automation,electrical design,variable frequency drives","plant automation,sales/marketing",Sales Service Engineer-Electrical,recommender_dataset,B.Tech,76.285,281
"active listening,critical thinking,business knowledge,analytical skills,people management,communication skills,negotiation skills,leadership,risk management skills,writing skills,hr","financial analysis,research,teaching,home interior design",Young Horticulture expert,recommender_dataset,B.Tech,94,369
business knowledge,sales/marketing,Sales,recommender_dataset,BCA,86,279
"hardware skills,business knowledge,leadership,product knowledge,problem solving skills,designing skills,client management","technology,service,social causes,industires,design",Quality engineer,recommender_dataset,BE,66,263
"active listening,hardware skills,mass communication,risk management skills","technology,industires,sports industry",Assistent Engineer,recommender_dataset,B.Tech,74,20
"critical thinking,artistic/creative skills,good communication skills",infrastructure,Back Office Executive,recommender_dataset,Diploma,63.7,41
"active listening,programming language skills,python,sql,java",technology,Software Engineer,recommender_dataset,B.Tech,80.75,304
"active listening,programming language skills,critical thinking,artistic/creative skills,business knowledge,leadership,writing skills,linux,sql,java,client management,good communication skills","news coverage,social justice,teaching,technology,understand human behaviour,web designing,content writing,data analytics,digital marketing,home interior design,web development,social media marketing,gardening,service,social causes,industires,design,navy defence related",Associate consultant,recommender_dataset,B.Tech,83.6,31
"gathering informing, communication skills, negotiation skills, work under pressure, leadership, team work, writing, reading",understand human behaviour,HR Executive,recommender_dataset,B.Sc,84.55,150
"life sciences,
pharmacovigilance,pharmacology,
gmp,
pharmaceutics,
drug discovery,
clinical trials,
pharmacokinetics,
clinical research,
high-performance liquid chromatography (hplc),
good clinical practice (gcp),
good laboratory practice (glp),
cro managementcro management",medicine,Clinical Research Associate,recommender_dataset,B.Pharm,87.4,66
"cancer research, cancer biology ,bacterial transformation, molecular cloning, cell culture,
gel electrophoresis,
fluorescence microscopy,
polymerase chain reaction (pcr),
real-time polymerase chain reaction (qpcr)","research,understand human body,biotechnology",Research Associate,recommender_dataset,B.Tech,76.285,269
"business knowledge,product knowledge,problem solving skills","understand human behaviour,game industry,blockchain",Site Engineer,recommender_dataset,B.Tech,72,298
"critical thinking,negotiation skills,editing","trading,understand human body,digital marketing",Accountent,recommender_dataset,BA,69,9
"problem solving skills,java,matlab","technology,trading,web designing,govt. job",BMS executive,recommender_dataset,B.Tech,62.32,39
"accounting skills,business knowledge","financial analysis,understand human behaviour,industires,blockchain",Entrepreneur,recommender_dataset,BBA,71.25,123
construction management,"construction,construction manegement",Civil & Structural Engineer,recommender_dataset,B.Tech,74.1,62
"proeficiency in software like staad pro, etabs","construction,construction manegement",Civil Design Engineer,recommender_dataset,B.Tech,79.8,63
"business knowledge,analytical skills,people management,product knowledge,problem solving skills,good communication skills",industires,Quality control engineer,recommender_dataset,B.Tech,70,262
"hardware skills,programming language skills,gathering information,product knowledge,sql,java,automation","technology,trading,game industry,information technology",SOFTWARE Tester,recommender_dataset,BE,56,275
"active listening, ai, ml, python, critical thinking, analytic thinking, gathering informing, artistic skills, sql, negotiation skills, work under pressure, leadership, news gathering, editing, product knowledge, creativity skills, team work, excel, interpersonal skills, presentation skills, c++, r, problem solving skills, mass communication, writing, tableau, observation skills, risk managing, reporting, reading, designing skills, subject knowledge","research, sales/marketing, social justice, take risk for profits, technology, trading, entrepreneurship, understand human behaviour",Mechanical Engineer,recommender_dataset,B.E ,66,202
"active listening,critical thinking,gathering information,artistic/creative skills,business knowledge,analytical skills,people management,civil & criminal law,communication skills,negotiation skills,mass communication,leadership,editing,product knowledge,problem solving skills,risk management skills,designing skills,writing skills,data visualization skills( power bi/ tableau ),machine learning skills,interpersonal skills,presentation skills,r,python,artificial intelligence,sql,content creation,good communication skills","research,social justice,technology,trading,understand human behaviour,supply chain analysis,data analytics,govt. job,game industry,digital marketing,data scientist,web development,market reserach,social media marketing,gardening,service,social causes",Production Engineer,recommender_dataset,BE,66,242
"active listening,hardware skills,programming language skills,critical thinking,gathering information,artistic/creative skills,business knowledge,analytical skills,finance related skills,people management,communication skills,negotiation skills,mass communication,leadership,editing,product knowledge,problem solving skills,risk management skills,designing skills,writing skills,data visualization skills( power bi/ tableau ),machine learning skills,sales,social media marketing,interpersonal skills,wealth management,presentation skills,r,python,artificial intelligence,sql,content creation,medical knowledge,hospitality,hr,matlab,good communication skills,teaching,sap,us & canada recruitment (it)","news coverage,research,sales/marketing,social justice,technology,trading,understand human behaviour,understand human body,supply chain analysis,content writing,data analytics,govt. job,game industry,digital marketing,data scientist,web development,market reserach,social media marketing,service,infrastructure,social causes,all fields related to data science.,industires,design,sap consultant in mm,information technology,product life cycle management,navy defence related,sports industry,blockchain,salesforce admin",Production Engineer,recommender_dataset,BE,66,242
"interpersonal skills, c++, sales","sales/marketing, technology",Mechanical Engineer,recommender_dataset,B.E ,67.45,202
"critical thinking, analytic thinking, gathering informing, business knowledge, people management, negotiation skills, work under pressure, leadership, team work, excel, interpersonal skills, presentation skills, problem solving skills, mass communication, writing, observation skills, risk managing, reporting, designing skills, building rapport, subject knowledge",railway engineering,Design Engineer,recommender_dataset,BE,76,104
